Elenco Studenti;;;;;;;;;;;;;
Cognome; Nome; Matricola; Email; Sanzione; Ritardo; PrestitoAttivo; ISBN; Titolo; Autore; AnnoPubblicazione; DataInizio; DataScadenza; DataRestituzione
Luigi;Verdi;1002;l.verdi@studenti.unisa.it;Nessuna;false;0;;;;;;;
Mario;Rossi;1001;m.rossi@studenti.unisa.it;Nessuna;false;0;;;;;;;
Luca;Bianchi;1003;l.bianchi@studenti.unisa.it;Nessuna;false;0;;;;;;;
Viola;Lombardi;1004;v.lombardi@studenti.unisa.it;Nessuna;false;0;;;;;;;
Sofia;Galli;1005;s.galli@studenti.unisa.it;Nessuna;false;0;;;;;;;
Leonardo;Marini;1006;l.marini@studenti.uni.it;Nessuna;false;0;;;;;;;
Federica;Serra;1007;f.serra@studenti.unisa.it;Nessuna;false;0;;;;;;;
Alessandra;Colombo;1008;a.colombo@studenti.unisa.it;Nessuna;false;0;;;;;;;
Luigia;Conti;1009;l.conti@studenti.uni.it;Nessuna;false;0;;;;;;;
Luca;Pellegrini;1010;l.pellegrini@studenti.unisa.it;Nessuna;false;0;;;;;;;
;;;;;;;;;;;;;
